Код;Наименование;Склад;Валюта;Цена1;Цена2;Цена3;Цена4;Гар.
ПРОДУКЦИЯ APPLE;;;;;;;;
Устройства  APPLE;;;;;;;;
Ноутбуки APPLE MacBook;;;;;;;;
88141;Чехол для iPad2 Smart Leather Case Cream, оригинальный (MC952/MD305);+;руб.;2996,16;2968,07;2911,89;2855,72;0
88142;Чехол для iPad2 Smart Leather Case Gray, оригинальный (MC949);+;руб.;2718,76;2692,71;2640,62;2591,78;0
89912;Чехол для iPad2 Smart Leather Case Red,  оригинальный (MC950/MD304);+;руб.;2996,16;2968,07;2911,89;2855,72;0
88144;Чехол для iPad2 Smart Leather Case Tan,  оригинальный (MC948/MD302);+;руб.;2996,16;2968,07;2911,89;2855,72;0
82746;Чехол для iPad LUXA2 PA3 Leather Folio Case (LHA0012) Black;+;руб.;1045,18;1035,41;1015,87;996,34;0
82747;Чехол для iPad LUXA2 PA3 Leather Folio Case (LHA0012-B) White;+;руб.;1080,99;1071,22;1048,43;1028,9;0
84917;Чехол для iPad Tucano Doppio (BFDP-R) красный;+;руб.;1015,87;1009,36;989,82;970,29;0,5
91532;Чехол для iPad Tucano Doppio (BFDP) черный;+;руб.;1006,1;996,34;980,06;960,52;0,5
101743;Чехол-книжка для iPad2/3 Tucano Ala IPDAL23-PP, экокожа, фиолетовый;+;руб.;1334,96;1321,94;1295,89;1273,1;0
101745;Чехол-книжка для iPad2/3 Tucano Ala IPDAL23-R, экокожа, красный;+;руб.;1334,96;1321,94;1295,89;1273,1;0
101744;Чехол-книжка для iPad2/3 Tucano Ala IPDAL23-Z, экокожа, голубой;+;руб.;1334,96;1321,94;1295,89;1273,1;0
98997;Чехол-книжка для iPad2/3 Zenus Case Masstiage Block Folio, Black Choco, иск. кожа;+;руб.;1810,34;1794,06;1761,5;1725,68;0
98998;Чехол-книжка для iPad2/3 Zenus Case Masstiage Block Folio, White, иск. кожа;+;руб.;1810,34;1794,06;1761,5;1725,68;0
98992;Чехол-книжка для iPad2/3 Zenus Case Masstiage Lettering Diary, Black, иск. кожа;-;руб.;2334,55;2311,76;2269,43;2223,85;0
98993;Чехол-книжка для iPad2/3 Zenus Case Masstiage Lettering Diary, Brown, иск. кожа;+;руб.;2334,55;2311,76;2269,43;2223,85;0
99002;Чехол-книжка для iPad2/3 Zenus Case Prestige Classic Business, Black, натур. кожа;-;руб.;2855,51;2829,46;2777,37;2722,02;0
99003;Чехол-книжка для iPad2/3 Zenus Case Prestige Classic Business, White, натур. кожа;+;руб.;2855,51;2829,46;2777,37;2722,02;0
98999;Чехол-книжка с подставкой для iPad2/3 Zenus Case Masstiage Color Point Folio, Blue, иск. кожа;+;руб.;2298,74;2279,2;2233,62;2191,29;0
